Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,24.000000,22.000000,1.000001,0.000000,2047.000000,-486.875000,-74.625000,37386530.625000,36499.500000,36523.875000,0.000041,492.560815,0.153273,0.140151,0.139244,0.000000,0.000000,-2464.574745,1.850475,-2462.724270,-1330.860744,0.000000,-1.841874,0.000000,0.193103,0.000000,0.078352,0.000000,26007.190574,0.000000,0.013059,0.000000,-0.000000,0.000024,-0.000000,0.000004,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.080489,24.000000,22.000000,1.000001,0.000000,2050.000000,-215.125000,-177.125000,37516012.625000,36604.250000,36665.500000,0.000041,278.661141,0.823359,0.802029,0.675977,0.000000,0.000000,-2462.616755,1.850475,-2460.766281,-1329.802643,0.000000,-1.840410,0.017698,0.185256,0.007848,0.082414,0.004062,24950.282810,1056.907764,0.013736,0.000677,-0.000000,0.000011,-0.000000,0.000002,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.142486,24.000000,22.000000,1.000001,0.000000,2063.000000,770.250000,-189.250000,38182944.500000,37172.250000,37445.250000,0.000041,793.158638,-0.245699,-0.259364,-0.253773,0.000000,0.000000,-2453.430726,1.850475,-2451.580251,-1324.838496,-0.000000,-1.833545,0.094390,0.159143,0.033960,0.103338,0.024987,21433.397165,4573.793409,0.017223,0.004164,-0.000000,0.000038,-0.000000,0.000006,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.223984,24.000000,22.000000,1.000001,0.000000,2074.000000,-251.375000,-226.875000,38844692.875000,37769.125000,37946.750000,0.000041,338.617271,0.902536,0.879493,0.721369,0.000000,0.000000,-2445.828757,1.850475,-2443.978282,-1320.730378,0.000000,-1.827864,0.159283,0.144244,0.048860,0.124100,0.045748,19426.734573,6580.456000,0.020683,0.007625,-0.000000,0.000013,-0.000000,0.000002,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.286479,23.900000,22.000000,1.000001,0.000000,2088.000000,-856.875000,-328.375000,39668400.125000,38724.500000,38747.875000,0.000041,917.640946,0.383224,0.368563,0.353116,0.000000,0.000000,-2438.512062,1.850475,-2436.661588,-1316.776423,0.000000,-1.822396,0.241874,0.123762,0.069341,0.149942,0.071591,16668.324119,9338.866454,0.024990,0.011932,-0.000000,0.000042,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.382801,23.900000,22.000000,1.000001,0.000000,2098.000000,-666.125000,908.375000,40297090.375000,39328.375000,39441.375000,0.000041,1126.440259,-1.363670,-1.401060,-0.950905,0.000000,0.000000,-2434.550432,1.850475,-2432.699957,-1314.635550,-0.000000,-1.819435,0.300868,0.112195,0.080909,0.169667,0.091315,15110.383169,10896.807404,0.028278,0.015219,-0.000000,0.000032,-0.000000,0.000005,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.462296,23.900000,22.000000,1.000001,0.000000,2114.000000,1009.875000,-185.625000,41219470.625000,40109.750000,40464.875000,0.000041,1026.793142,-0.183810,-0.197122,-0.194626,0.000000,0.000000,-2431.301975,1.850475,-2429.451500,-1312.880078,-0.000000,-1.817007,0.395258,0.087612,0.105492,0.198605,0.120254,11799.577135,14207.613438,0.033101,0.020042,-0.000000,0.000050,-0.000000,0.000008,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.523291,23.900000,22.000000,1.000001,0.000000,2128.000000,-1.375000,-271.625000,42091290.125000,40889.750000,41120.250000,0.000041,271.628480,197.545455,55.836275,1.552889,0.000000,0.000000,-2431.038302,1.850475,-2429.187827,-1312.737589,0.000000,-1.816810,0.477849,0.071463,0.121641,0.225958,0.147606,9624.608020,16382.582554,0.037660,0.024601,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.603118,23.900000,22.000000,1.000001,0.000000,2138.000000,-1253.875000,-661.375000,42733038.375000,41507.375000,41789.250000,0.000041,1417.610456,0.527465,0.511155,0.472532,0.000000,0.000000,-2432.577471,1.850475,-2430.726996,-1313.569359,0.000000,-1.817961,0.536843,0.061794,0.131309,0.246092,0.167740,8322.487101,17684.703472,0.041015,0.027957,-0.000000,0.000062,-0.000000,0.000010,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.665617,23.900000,22.000000,1.000001,0.000000,2152.000000,-1435.625000,471.125000,43564410.375000,42510.750000,42674.625000,0.000041,1510.952649,-0.328167,-0.342457,-0.329939,0.000000,0.000000,-2436.729982,1.850475,-2434.879507,-1315.813383,-0.000000,-1.821064,0.619434,0.043783,0.149320,0.272175,0.193823,5896.710968,20110.479606,0.045363,0.032304,-0.000000,0.000071,-0.000000,0.000012,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.726781,23.900000,22.000000,1.000001,0.000000,2162.000000,487.500000,67.500000,44206666.500000,43069.375000,43310.125000,0.000041,492.150891,0.138462,0.125392,0.124741,0.000000,0.000000,-2441.577849,1.850475,-2439.727374,-1318.433179,0.000000,-1.824687,0.678428,0.035307,0.157797,0.292325,0.213973,4755.101748,21252.088825,0.048721,0.035662,-0.000000,0.000024,-0.000000,0.000004,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
