Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,28.200000,30.000000,1.000001,94.000000,2216.000000,2015656.000000,38225.250000,51637625.250000,47299.750000,53513.125000,0.000041,2016018.422553,0.018964,0.006116,0.006116,2788.042499,2789.286384,318.479662,1.850475,320.330137,0.114767,17.068517,15.221986,0.996994,0.093201,0.000509,0.365789,0.000191,18492.235949,100.970365,0.060965,0.000032,0.031821,0.099443,6313.783993,0.016574,381345.401383,18121.412362,0.047520,2884.110069,60692.957577,60761.444933,141239.037549,6711.634208,381775.720472,141398.414990, 
0.140829,28.300000,30.000000,1.000001,94.000000,2216.000000,2015826.625000,38276.375000,51638088.875000,47310.125000,53497.750000,0.000041,2016189.986817,0.018988,0.006140,0.006140,2787.805255,2789.048517,318.234297,1.850475,320.084772,0.114689,17.133329,15.286792,0.996994,0.093162,0.000548,0.365803,0.000206,18484.560834,108.645480,0.060967,0.000034,0.031800,0.099451,6309.485495,0.016575,381053.300092,18198.562305,0.047759,2896.388854,60646.468249,60715.592557,141130.851886,6740.208261,381487.621269,141291.711581, 
0.266323,28.300000,30.000000,1.000001,94.000000,2216.000000,2015738.625000,38290.125000,51638530.375000,47306.875000,53498.875000,0.000041,2016102.263773,0.018996,0.006148,0.006148,2787.926556,2789.169797,318.348436,1.850475,320.198911,0.114725,17.155415,15.308873,0.996994,0.093125,0.000584,0.365817,0.000220,18477.251905,115.954409,0.060969,0.000037,0.031810,0.099447,6311.461118,0.016574,381189.179376,18224.849165,0.047811,2900.572534,60668.094092,60737.393439,141181.177547,6749.944135,381624.600361,141342.444578, 
0.386479,28.300000,30.000000,1.000001,94.000000,2216.000000,2015902.875000,38453.125000,51639124.125000,47304.375000,53501.375000,0.000041,2016269.586205,0.019075,0.006227,0.006227,2787.695197,2788.936857,318.105891,1.850475,319.956366,0.114647,17.375202,15.528653,0.996994,0.093076,0.000634,0.365836,0.000238,18467.422384,125.783930,0.060973,0.000040,0.031788,0.099455,6307.206699,0.016576,380900.435183,18486.491256,0.048534,2942.214133,60622.139062,60693.495274,141074.235253,6846.848613,381348.779835,141240.288828, 
0.511480,28.400000,30.000000,1.000001,94.000000,2216.000000,2015686.250000,38239.500000,51639515.750000,47307.625000,53498.375000,0.000041,2016048.937352,0.018971,0.006123,0.006123,2788.000299,2789.244030,318.406727,1.850475,320.257202,0.114743,17.087186,15.240632,0.996994,0.093043,0.000667,0.365848,0.000251,18460.938958,132.267357,0.060975,0.000042,0.031815,0.099444,6312.442211,0.016574,381258.573827,18143.609305,0.047589,2887.642819,60679.138553,60747.809315,141206.879195,6719.855298,381690.045292,141366.683442, 
0.632136,28.400000,30.000000,1.000001,94.000000,2216.000000,2015732.750000,38294.500000,51639946.500000,47304.875000,53506.125000,0.000041,2016096.472928,0.018998,0.006150,0.006150,2787.934564,2789.177774,318.333502,1.850475,320.183977,0.114719,17.161673,15.315114,0.996994,0.093007,0.000703,0.365861,0.000264,18453.807736,139.398579,0.060977,0.000044,0.031808,0.099447,6311.148725,0.016574,381171.401384,18232.278892,0.047832,2901.755011,60665.264639,60734.623699,141174.593105,6752.695886,381607.197556,141335.999095, 
0.753137,28.400000,30.000000,1.000001,94.000000,2216.000000,2015734.250000,38342.250000,51640352.250000,47307.125000,53500.625000,0.000041,2016098.880204,0.019021,0.006174,0.006174,2787.931235,2789.174035,318.323198,1.850475,320.173673,0.114715,17.227692,15.381128,0.996994,0.092973,0.000736,0.365874,0.000277,18447.090326,146.115989,0.060979,0.000046,0.031807,0.099447,6310.954065,0.016574,381159.133967,18310.866657,0.048040,2914.262632,60663.312220,60733.272398,141170.049617,6781.802466,381598.707078,141332.854473, 
0.874127,28.400000,30.000000,1.000001,94.000000,2216.000000,2015847.625000,38329.625000,51640767.125000,47311.500000,53500.750000,0.000041,2016211.994650,0.019014,0.006166,0.006166,2787.774825,2789.017609,318.160058,1.850475,320.010533,0.114663,17.206271,15.359702,0.996994,0.092939,0.000771,0.365887,0.000290,18440.221775,152.984539,0.060981,0.000048,0.031793,0.099452,6308.091961,0.016575,380964.920248,18285.360102,0.047997,2910.203141,60632.402171,60702.203217,141098.118611,6772.355593,381403.493500,141260.553148, 
1.015792,28.400000,30.000000,1.000001,94.000000,2216.000000,2015690.750000,38360.750000,51641091.750000,47310.375000,53503.625000,0.000041,2016055.739997,0.019031,0.006183,0.006183,2787.990892,2789.233581,318.370777,1.850475,320.221251,0.114730,17.254808,15.408235,0.996994,0.092912,0.000798,0.365897,0.000300,18434.847327,158.358987,0.060983,0.000050,0.031811,0.099444,6311.757234,0.016574,381215.775487,18343.137296,0.048117,2919.398660,60672.326991,60742.523417,141191.027958,6793.754554,381656.832987,141354.382588, 
1.153282,28.500000,30.000000,1.000001,94.000000,2216.000000,2015789.000000,38325.000000,51641590.000000,47311.625000,53504.375000,0.000041,2016153.292323,0.019012,0.006165,0.006165,2787.855994,2789.098882,318.228014,1.850475,320.078488,0.114684,17.201915,15.355337,0.996994,0.092870,0.000840,0.365913,0.000316,18426.598281,166.608034,0.060985,0.000053,0.031799,0.099449,6309.247774,0.016575,381045.819432,18280.162544,0.047974,2909.375925,60645.277666,60715.024265,141128.081271,6770.430572,381484.050583,141290.389105, 
