Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,25.425000,22.000000,1.000001,0.000000,2047.000000,-38.250000,-195.750000,44389887.000000,43339.750000,43360.125000,0.000041,199.452062,5.117647,4.789901,1.364980,0.000000,0.000000,-2441.483636,1.850475,-2439.633161,-1318.382267,0.000000,-1.824617,0.000000,0.337900,0.000000,0.138400,0.000000,51197.041986,0.000000,0.023067,0.000000,-0.000000,0.000002,-0.000000,0.000000,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.096160,25.312500,22.000000,1.000001,0.000000,2050.000000,-903.375000,60.875000,44498195.125000,43399.750000,43470.500000,0.000041,905.423744,-0.067386,-0.080302,-0.080130,0.000000,0.000000,-2440.558969,1.850475,-2438.708495,-1317.882575,-0.000000,-1.823926,0.017698,0.328367,0.009533,0.141798,0.003398,49752.650701,1444.391285,0.023633,0.000566,-0.000000,0.000045,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.159824,25.300000,22.000000,1.000001,0.000000,2066.000000,1543.750000,-1855.750000,45238746.500000,44050.250000,44269.125000,0.000041,2413.912203,-1.202105,-1.234008,-0.889765,0.000000,0.000000,-2435.354402,1.850475,-2433.503927,-1315.070017,-0.000000,-1.820036,0.112088,0.289822,0.048078,0.165032,0.026632,43912.473531,7284.568455,0.027505,0.004439,-0.000000,0.000075,-0.000000,0.000013,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.220988,25.200000,22.000000,1.000001,0.000000,2077.000000,871.875000,792.625000,45860957.125000,44689.375000,44878.000000,0.000041,1178.312525,0.909104,0.885912,0.724977,0.000000,0.000000,-2432.497873,1.850475,-2430.647398,-1313.526344,0.000000,-1.817901,0.176981,0.271943,0.065958,0.184553,0.046153,41203.462565,9993.579421,0.030759,0.007692,-0.000000,0.000044,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.285819,25.200000,22.000000,1.000001,0.000000,2087.000000,749.500000,-751.500000,46421640.000000,45187.000000,45350.375000,0.000041,1061.368221,-1.002668,-1.028766,-0.799576,0.000000,0.000000,-2431.114437,1.850475,-2429.263962,-1312.778732,-0.000000,-1.816867,0.235975,0.255459,0.082442,0.202143,0.063744,38705.897744,12491.144242,0.033691,0.010624,-0.000000,0.000037,-0.000000,0.000006,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.347647,25.200000,22.000000,1.000001,0.000000,2098.000000,-3021.250000,291.250000,47028903.250000,45767.625000,45968.250000,0.000041,3035.255858,-0.096400,-0.109382,-0.108949,0.000000,0.000000,-2430.888602,1.850475,-2429.038127,-1312.656690,-0.000000,-1.816699,0.300868,0.236834,0.101067,0.221196,0.082796,35883.912945,15313.129041,0.036866,0.013799,-0.000000,0.000149,-0.000000,0.000025,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.410810,25.112500,22.000000,1.000001,0.000000,2108.000000,-1101.750000,-170.750000,47604818.500000,46460.750000,46548.500000,0.000041,1114.902967,0.154981,0.141852,0.140912,0.000000,0.000000,-2431.891749,1.850475,-2430.041274,-1313.198793,0.000000,-1.817448,0.359862,0.222003,0.115898,0.239264,0.100865,33636.814233,17560.227753,0.039877,0.016811,-0.000000,0.000054,-0.000000,0.000009,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.471807,25.100000,22.000000,1.000001,0.000000,2119.000000,853.625000,878.875000,48218349.875000,46989.500000,47183.625000,0.000041,1225.192600,1.029580,1.003462,0.787126,0.000000,0.000000,-2434.253313,1.850475,-2432.402838,-1314.474987,0.000000,-1.819213,0.424755,0.204531,0.133369,0.258513,0.120113,30989.602355,20207.439631,0.043085,0.020019,-0.000000,0.000043,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.536471,25.100000,22.000000,1.000001,0.000000,2129.000000,-137.625000,-1652.125000,48805299.625000,47511.000000,47674.375000,0.000041,1657.847296,12.004541,10.389500,1.474841,0.000000,0.000000,-2437.745840,1.850475,-2435.895365,-1316.362354,0.000000,-1.821823,0.483748,0.191331,0.146569,0.276928,0.138528,28989.576366,22207.465620,0.046155,0.023088,-0.000000,0.000008,-0.000000,0.000001,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.598471,25.100000,22.000000,1.000001,0.000000,2140.000000,-2001.125000,-635.375000,49425822.375000,48035.000000,48309.250000,0.000041,2099.572017,0.317509,0.303425,0.294596,0.000000,0.000000,-2442.728031,1.850475,-2440.877556,-1319.054740,0.000000,-1.825547,0.548642,0.175373,0.162527,0.296396,0.157996,26571.697835,24625.344151,0.049399,0.026333,-0.000000,0.000099,-0.000000,0.000017,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.660137,25.100000,22.000000,1.000001,0.000000,2151.000000,-1242.125000,189.625000,50061398.875000,48858.875000,48959.500000,0.000041,1256.515880,-0.152662,-0.165833,-0.164338,0.000000,0.000000,-2449.176843,1.850475,-2447.326369,-1322.539690,-0.000000,-1.830366,0.613535,0.161229,0.176671,0.316336,0.177937,24428.663257,26768.378729,0.052723,0.029656,-0.000000,0.000061,-0.000000,0.000010,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.722801,25.100000,22.000000,1.000001,0.000000,2161.000000,544.875000,826.625000,50638359.625000,49356.125000,49553.000000,0.000041,990.049320,1.517091,1.475489,0.975166,0.000000,0.000000,-2456.180766,1.850475,-2454.330291,-1326.324623,0.000000,-1.835600,0.672528,0.148911,0.188989,0.334438,0.196038,22562.343195,28634.698791,0.055740,0.032673,-0.000000,0.000027,-0.000000,0.000005,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.785966,25.025000,22.000000,1.000001,0.000000,2172.000000,754.500000,-730.250000,51271474.750000,49903.625000,50084.000000,0.000041,1050.016815,-0.967860,-0.993053,-0.781912,0.000000,0.000000,-2465.088370,1.850475,-2463.237895,-1331.138308,-0.000000,-1.842257,0.737421,0.135962,0.201938,0.354301,0.215901,20600.302567,30596.739419,0.059050,0.035984,-0.000000,0.000037,-0.000000,0.000006,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.847292,24.950000,22.000000,1.000001,0.000000,2183.000000,-1848.500000,-653.750000,51905811.750000,50454.000000,50739.500000,0.000041,1960.699190,0.353665,0.339277,0.327091,0.000000,0.000000,-2475.251904,1.850475,-2473.401430,-1336.630701,0.000000,-1.849853,0.802314,0.123931,0.213969,0.374203,0.235803,18777.455872,32419.586114,0.062367,0.039300,-0.000000,0.000092,-0.000000,0.000015,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.910623,24.900000,22.000000,1.000001,0.000000,2193.000000,-1319.000000,199.500000,52496503.750000,51231.250000,51342.125000,0.000042,1334.001968,-0.151251,-0.164417,-0.162959,0.000000,0.000000,-2485.787623,1.850475,-2483.937148,-1342.324223,-0.000000,-1.857727,0.861308,0.114947,0.222953,0.392735,0.254335,17416.242602,33780.799384,0.065456,0.042389,-0.000000,0.000065,-0.000000,0.000011,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.973620,24.875000,22.000000,1.000001,0.000000,2204.000000,505.250000,920.000000,53119798.250000,51767.500000,51998.500000,0.000042,1049.608290,1.820881,1.766709,1.055734,0.000000,0.000000,-2497.976462,1.850475,-2496.125987,-1348.911094,0.000000,-1.866836,0.926201,0.103689,0.234211,0.412290,0.273890,15710.497922,35486.544064,0.068715,0.045648,-0.000000,0.000026,-0.000000,0.000004,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
1.034788,24.800000,22.000000,1.000001,0.000000,2215.000000,-768.500000,997.000000,53766673.500000,52487.625000,52515.875000,0.000042,1258.809457,-1.297332,-1.332384,-0.926953,0.000000,0.000000,-2511.733198,1.850475,-2509.882723,-1356.345259,-0.000000,-1.877117,0.991094,0.095443,0.242457,0.432585,0.294185,14461.119866,36735.922120,0.072097,0.049031,-0.000000,0.000037,-0.000000,0.000006,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
