Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,79.400000,75.000000,1.000001,0.000000,2047.000000,-625.500000,-13.500000,39930652.000000,38973.375000,39015.750000,0.000042,625.645666,0.021583,0.008734,0.008734,0.000000,0.000000,-2513.512299,1.850475,-2511.661824,-1357.306689,0.000000,-1.878447,0.000000,0.002033,0.000020,0.000809,0.000008,403.366855,3.881268,0.000135,0.000001,-0.000000,0.000031,-0.000000,0.000005,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.061331,79.500000,75.000000,1.000001,0.000000,2057.000000,-12.625000,505.125000,40587892.875000,39378.875000,39896.375000,0.000042,505.282749,-40.009901,-82.347220,-1.558653,0.000000,0.000000,-2498.857767,1.850475,-2497.007292,-1349.387353,-0.000000,-1.867495,0.058994,0.009488,0.007436,0.019811,0.018995,1882.551371,1475.303248,0.003302,0.003166,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.122491,79.500000,75.000000,1.000001,0.000000,2068.000000,-1541.875000,519.375000,41402781.875000,40245.500000,40671.250000,0.000042,1626.999971,-0.336846,-0.351212,-0.337754,0.000000,0.000000,-2482.516255,1.850475,-2480.665781,-1340.556370,-0.000000,-1.855282,0.123887,0.011237,0.009184,0.045377,0.044561,2229.467382,1822.219259,0.007563,0.007427,-0.000000,0.000076,-0.000000,0.000013,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.200986,79.500000,75.000000,1.000001,0.000000,2078.000000,-805.000000,-545.000000,42157276.500000,40900.250000,41486.875000,0.000041,972.136822,0.677019,0.658446,0.582290,0.000000,0.000000,-2469.269411,1.850475,-2467.418936,-1333.397751,0.000000,-1.845382,0.182881,0.012380,0.010328,0.069049,0.068232,2456.429386,2049.181263,0.011508,0.011372,-0.000000,0.000040,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.261990,79.500000,75.000000,1.000001,0.000000,2091.000000,-1197.125000,277.125000,43091852.625000,41760.875000,42425.125000,0.000041,1228.782540,-0.231492,-0.245067,-0.240331,0.000000,0.000000,-2455.474446,1.850475,-2453.623971,-1325.942926,-0.000000,-1.835073,0.259572,0.018027,0.015975,0.098370,0.097553,3576.853023,3169.604900,0.016395,0.016259,-0.000000,0.000059,-0.000000,0.000010,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.323487,79.500000,75.000000,1.000001,0.000000,2102.000000,-325.625000,-224.625000,43919071.875000,42514.875000,43182.250000,0.000041,395.585681,0.689827,0.671035,0.591020,0.000000,0.000000,-2445.755285,1.850475,-2443.904810,-1320.690674,0.000000,-1.827809,0.324465,0.020402,0.018349,0.124323,0.123506,4047.981608,3640.733485,0.020720,0.020584,-0.000000,0.000016,-0.000000,0.000003,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.388150,79.500000,75.000000,1.000001,0.000000,2112.000000,-1138.125000,359.375000,44659575.875000,43429.500000,43839.625000,0.000041,1193.515357,-0.315761,-0.329945,-0.318698,0.000000,0.000000,-2439.087162,1.850475,-2437.236687,-1317.087208,-0.000000,-1.822826,0.383459,0.023559,0.021506,0.147555,0.146739,4674.339870,4267.091747,0.024593,0.024456,-0.000000,0.000056,-0.000000,0.000009,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.451643,79.500000,75.000000,1.000001,0.000000,2123.000000,-341.750000,-520.500000,45449965.750000,44099.500000,44634.125000,0.000041,622.666293,1.523043,1.481216,0.976964,0.000000,0.000000,-2434.120342,1.850475,-2432.269867,-1314.403129,0.000000,-1.819114,0.448352,0.028824,0.026772,0.172353,0.171536,5719.146657,5311.898534,0.028725,0.028589,-0.000000,0.000017,-0.000000,0.000003,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.513807,79.462500,75.000000,1.000001,0.000000,2134.000000,-948.375000,199.125000,46243795.375000,44899.750000,45355.750000,0.000041,969.054130,-0.209964,-0.223413,-0.219804,0.000000,0.000000,-2431.385382,1.850475,-2429.534907,-1312.925152,-0.000000,-1.817070,0.513245,0.033634,0.031582,0.197258,0.196442,6673.462808,6266.214685,0.032876,0.032740,-0.000000,0.000047,-0.000000,0.000008,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.576303,79.400000,75.000000,1.000001,0.000000,2144.000000,-1027.750000,-25.500000,46967438.500000,45545.375000,46107.250000,0.000041,1028.066298,0.024811,0.011961,0.011961,0.000000,0.000000,-2430.863240,1.850475,-2429.012765,-1312.642985,0.000000,-1.816680,0.572239,0.037542,0.035490,0.219962,0.219145,7448.820719,7041.572596,0.036660,0.036524,-0.000000,0.000051,-0.000000,0.000008,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
