Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,23.000000,22.000000,1.000001,0.000000,2047.000000,-714.500000,-70.000000,35171349.000000,34330.500000,34363.000000,0.000042,717.920783,0.097971,0.085017,0.084813,0.000000,0.000000,-2503.346351,1.850475,-2501.495876,-1351.812992,0.000000,-1.870849,0.000000,0.033294,0.000000,0.013300,0.000000,8323.432339,0.000000,0.002660,0.000000,-0.000000,0.000035,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.061389,23.000000,22.000000,1.000001,0.000000,2050.000000,-71.250000,-823.500000,35375676.250000,34452.375000,34654.000000,0.000042,826.576562,11.557895,10.052502,1.471645,0.000000,0.000000,-2498.926465,1.850475,-2497.075990,-1349.424477,0.000000,-1.867546,0.017698,0.031556,0.001737,0.019710,0.006411,7889.061217,434.371122,0.003942,0.001282,-0.000000,0.000004,-0.000000,0.000001,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.124252,23.000000,22.000000,1.000001,0.000000,2060.000000,-1651.375000,1662.375000,36075695.875000,34951.500000,35476.125000,0.000042,2343.188006,-1.006661,-1.032864,-0.801563,0.000000,0.000000,-2484.755575,1.850475,-2482.905100,-1341.766502,-0.000000,-1.856955,0.076692,0.026854,0.006440,0.041672,0.028373,6713.517347,1609.914992,0.008334,0.005675,-0.000000,0.000080,-0.000000,0.000016,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.186353,23.000000,22.000000,1.000001,0.000000,2071.000000,-342.875000,1775.125000,36906738.875000,35659.625000,36370.125000,0.000041,1807.935848,-5.177178,-5.559790,-1.392836,0.000000,0.000000,-2469.950454,1.850475,-2468.099979,-1333.765788,-0.000000,-1.845891,0.141585,0.025743,0.007551,0.067745,0.054446,6435.733746,1887.698593,0.013549,0.010889,-0.000000,0.000016,-0.000000,0.000003,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.251284,23.000000,22.000000,1.000001,0.000000,2081.000000,-1720.750000,-1193.000000,37772341.250000,36581.625000,37209.500000,0.000041,2093.855191,0.693302,0.674449,0.593371,0.000000,0.000000,-2456.951708,1.850475,-2455.101233,-1326.741241,0.000000,-1.836177,0.200579,0.032593,0.000701,0.094903,0.081603,8148.146588,175.285750,0.018981,0.016321,-0.000000,0.000086,-0.000000,0.000017,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.315043,23.000000,22.000000,1.000001,0.000000,2092.000000,-1442.500000,-623.000000,38500066.000000,37329.000000,37882.500000,0.000041,1571.284586,0.431889,0.416731,0.394846,0.000000,0.000000,-2447.997586,1.850475,-2446.147112,-1321.902417,0.000000,-1.829485,0.265472,0.022741,0.010553,0.117734,0.104434,5685.281833,2638.150506,0.023547,0.020887,-0.000000,0.000072,-0.000000,0.000014,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.378039,23.000000,22.000000,1.000001,0.000000,2103.000000,-1065.875000,-733.125000,39327542.625000,38080.375000,38712.875000,0.000041,1293.662159,0.687815,0.669057,0.589656,0.000000,0.000000,-2440.060715,1.850475,-2438.210240,-1317.613317,0.000000,-1.823553,0.330365,0.020260,0.013034,0.143695,0.130395,5065.046086,3258.386252,0.028739,0.026079,-0.000000,0.000053,-0.000000,0.000011,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.441636,23.000000,22.000000,1.000001,0.000000,2114.000000,-677.125000,-199.875000,40147718.875000,38919.375000,39479.625000,0.000041,706.008698,0.295182,0.281269,0.274185,0.000000,0.000000,-2434.590081,1.850475,-2432.739606,-1314.656977,0.000000,-1.819465,0.395258,0.017228,0.016066,0.169427,0.156128,4306.983851,4016.448487,0.033885,0.031226,-0.000000,0.000034,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.520065,23.000000,22.000000,1.000001,0.000000,2124.000000,-133.000000,-425.000000,40895093.750000,39584.000000,40218.125000,0.000041,445.324601,3.195489,3.057147,1.254664,0.000000,0.000000,-2431.702601,1.850475,-2429.852126,-1313.096577,0.000000,-1.817307,0.454252,0.014764,0.018530,0.192875,0.179575,3690.875620,4632.556719,0.038575,0.035915,-0.000000,0.000007,-0.000000,0.000001,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.582812,23.000000,22.000000,1.000001,0.000000,2138.000000,-1168.250000,453.750000,41885478.750000,40617.250000,41251.500000,0.000041,1253.274561,-0.388401,-0.403260,-0.383313,0.000000,0.000000,-2430.965071,1.850475,-2429.114596,-1312.698014,-0.000000,-1.816756,0.536843,0.007565,0.025728,0.223947,0.210648,1891.322317,6432.110022,0.044789,0.042130,-0.000000,0.000057,-0.000000,0.000011,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
