Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,22.100000,22.000000,1.000001,0.000000,2047.000000,-712.375000,-38.625000,35309335.375000,34460.375000,34501.625000,0.000042,713.421356,0.054220,0.041345,0.041321,0.000000,0.000000,-2501.919556,1.850475,-2500.069081,-1351.041949,0.000000,-1.869783,0.000000,0.038403,0.000000,0.015349,0.000000,9600.631393,0.000000,0.003070,0.000000,-0.000000,0.000035,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.061662,22.100000,22.000000,1.000001,0.000000,2050.000000,-1157.625000,62.625000,35515991.875000,34574.750000,34781.250000,0.000042,1159.317701,-0.054098,-0.066991,-0.066891,0.000000,0.000000,-2497.490852,1.850475,-2495.640377,-1348.648670,-0.000000,-1.866473,0.017698,0.036829,0.001573,0.021833,0.006484,9207.288518,393.342875,0.004367,0.001297,-0.000000,0.000057,-0.000000,0.000011,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.124164,22.100000,22.000000,1.000001,0.000000,2060.000000,-1235.125000,-502.875000,36225047.125000,34962.000000,35728.500000,0.000042,1333.573032,0.407145,0.392247,0.373805,0.000000,0.000000,-2483.296273,1.850475,-2481.445798,-1340.977893,0.000000,-1.855865,0.076692,0.032768,0.005634,0.044079,0.028729,8192.075385,1408.556008,0.008816,0.005746,-0.000000,0.000061,-0.000000,0.000012,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.186994,22.100000,22.000000,1.000001,0.000000,2071.000000,-801.375000,189.125000,37070097.375000,36049.625000,36381.750000,0.000041,823.389432,-0.236001,-0.249604,-0.244606,0.000000,0.000000,-2468.470961,1.850475,-2466.620486,-1332.966267,-0.000000,-1.844785,0.141585,0.032667,0.005736,0.070591,0.055242,8166.718740,1433.912653,0.014118,0.011048,-0.000000,0.000039,-0.000000,0.000008,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.264821,22.100000,22.000000,1.000001,0.000000,2081.000000,1067.500000,-394.000000,37852862.250000,36606.500000,37361.875000,0.000041,1137.889384,-0.369087,-0.383752,-0.366422,0.000000,0.000000,-2456.845253,1.850475,-2454.994778,-1326.683713,-0.000000,-1.836097,0.200579,0.033188,0.005214,0.095149,0.079800,8297.103360,1303.528033,0.019030,0.015960,-0.000000,0.000052,-0.000000,0.000010,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.328152,22.037500,22.000000,1.000001,0.000000,2094.000000,-3363.250000,1573.500000,38823063.000000,37504.625000,38357.500000,0.000041,3713.132480,-0.467851,-0.483604,-0.450445,0.000000,0.000000,-2445.342402,1.850475,-2443.491927,-1320.467551,-0.000000,-1.827500,0.277270,0.029836,0.008567,0.125588,0.110239,7458.885205,2141.746188,0.025118,0.022048,-0.000000,0.000165,-0.000000,0.000033,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.390316,22.000000,22.000000,1.000001,0.000000,2105.000000,-1322.375000,2454.125000,39682685.875000,38310.000000,39127.000000,0.000041,2787.724010,-1.855846,-1.914332,-1.089409,0.000000,0.000000,-2437.905641,1.850475,-2436.055166,-1316.448711,-0.000000,-1.821943,0.342164,0.029758,0.008645,0.152558,0.137209,7439.467363,2161.164030,0.030512,0.027442,-0.000000,0.000064,-0.000000,0.000013,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.453148,22.000000,22.000000,1.000001,0.000000,2116.000000,-1779.000000,-1993.750000,40517120.750000,39205.250000,39886.000000,0.000041,2672.055400,1.120714,1.092144,0.829413,0.000000,0.000000,-2433.203598,1.850475,-2431.353123,-1313.907719,0.000000,-1.818429,0.407057,0.027847,0.010555,0.178737,0.163388,6961.800088,2638.831306,0.035747,0.032678,-0.000000,0.000089,-0.000000,0.000018,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.516149,22.000000,22.000000,1.000001,0.000000,2126.000000,-1782.625000,-1486.625000,41282400.625000,39983.250000,40662.250000,0.000041,2321.164747,0.833953,0.812403,0.682258,0.000000,0.000000,-2431.087008,1.850475,-2429.236534,-1312.763910,0.000000,-1.816847,0.466050,0.026845,0.011558,0.202747,0.187398,6711.223671,2889.407722,0.040549,0.037480,-0.000000,0.000089,-0.000000,0.000018,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.579648,22.000000,22.000000,1.000001,0.000000,2137.000000,109.250000,-230.750000,42097374.750000,40784.000000,41379.250000,0.000041,255.305944,-2.112128,-2.184239,-1.141454,0.000000,0.000000,-2431.142859,1.850475,-2429.292385,-1312.794092,-0.000000,-1.816889,0.530943,0.024125,0.014278,0.228316,0.212966,6031.145365,3569.486028,0.045663,0.042593,-0.000000,0.000005,-0.000000,0.000001,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.641646,22.000000,22.000000,1.000001,0.000000,2148.000000,381.250000,-348.250000,42912700.500000,41492.000000,42252.625000,0.000041,516.361913,-0.913443,-0.937287,-0.753038,0.000000,0.000000,-2433.565990,1.850475,-2431.715515,-1314.103556,-0.000000,-1.818699,0.595837,0.022035,0.016368,0.253896,0.238546,5508.746614,4091.884779,0.050779,0.047709,-0.000000,0.000019,-0.000000,0.000004,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.703811,22.000000,22.000000,1.000001,0.000000,2158.000000,-1294.375000,700.125000,43659880.375000,42405.250000,42904.500000,0.000041,1471.591539,-0.540898,-0.557619,-0.508674,0.000000,0.000000,-2437.837081,1.850475,-2435.986606,-1316.411661,-0.000000,-1.821891,0.654830,0.021273,0.017129,0.277337,0.261988,5318.277225,4282.354169,0.055467,0.052398,-0.000000,0.000063,-0.000000,0.000013,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.766303,22.000000,22.000000,1.000001,0.000000,2169.000000,-522.125000,-397.125000,44455490.125000,43069.875000,43803.625000,0.000041,655.989925,0.760594,0.740512,0.637401,0.000000,0.000000,-2444.496544,1.850475,-2442.646069,-1320.010448,0.000000,-1.826868,0.719723,0.019245,0.019158,0.302299,0.286949,4811.178571,4789.452822,0.060460,0.057390,-0.000000,0.000026,-0.000000,0.000005,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.829302,22.000000,22.000000,1.000001,0.000000,2179.000000,-856.125000,81.125000,45192908.875000,43858.000000,44351.750000,0.000041,859.960046,-0.094758,-0.107736,-0.107322,0.000000,0.000000,-2452.562199,1.850475,-2450.711724,-1324.369142,-0.000000,-1.832896,0.778717,0.019431,0.018972,0.325434,0.310085,4857.691383,4742.940010,0.065087,0.062017,-0.000000,0.000042,-0.000000,0.000008,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.892299,22.000000,22.000000,1.000001,0.000000,2190.000000,-669.875000,335.125000,45973322.375000,44647.625000,45132.125000,0.000041,749.026890,-0.500280,-0.516445,-0.476717,0.000000,0.000000,-2463.015320,1.850475,-2461.164845,-1330.018028,-0.000000,-1.840708,0.843610,0.018245,0.020157,0.349919,0.334570,4561.308171,5039.323222,0.069984,0.066914,-0.000000,0.000033,-0.000000,0.000007,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
