Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,74.300000,75.000000,1.000001,0.000000,2047.000000,-782.375000,-79.875000,35339093.875000,34491.750000,34528.750000,0.000042,786.441769,0.102093,0.089130,0.088895,0.000000,0.000000,-2501.273856,1.850475,-2499.423382,-1350.693012,0.000000,-1.869300,0.000000,0.040728,0.000000,0.016283,0.000000,10181.973834,0.000000,0.003257,0.000000,-0.000000,0.000039,-0.000000,0.000008,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.061327,74.250000,75.000000,1.000001,0.000000,2050.000000,-1241.375000,239.125000,35575960.375000,34622.125000,34851.375000,0.000042,1264.196447,-0.192629,-0.205985,-0.203144,0.000000,0.000000,-2496.230030,1.850475,-2494.379555,-1347.967319,-0.000000,-1.865531,0.017698,0.041498,0.000770,0.023714,0.007431,10374.532452,192.558618,0.004743,0.001486,-0.000000,0.000061,-0.000000,0.000012,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.124658,74.200000,75.000000,1.000001,0.000000,2060.000000,-1685.250000,-5.500000,36257377.000000,35075.500000,35775.375000,0.000042,1685.258975,0.003264,-0.009582,-0.009582,0.000000,0.000000,-2482.686690,1.850475,-2480.836215,-1340.648473,-0.000000,-1.855409,0.076692,0.035260,0.005468,0.045093,0.028810,8814.911680,1367.062154,0.009019,0.005762,-0.000000,0.000083,-0.000000,0.000017,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.204160,74.200000,75.000000,1.000001,0.000000,2071.000000,-1461.625000,-527.625000,37101699.875000,35793.250000,36635.250000,0.000041,1553.942013,0.360985,0.346532,0.333582,0.000000,0.000000,-2467.961848,1.850475,-2466.111374,-1332.691141,0.000000,-1.844405,0.141585,0.035078,0.005650,0.071582,0.055300,8769.473819,1412.500015,0.014316,0.011060,-0.000000,0.000072,-0.000000,0.000014,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.269659,74.200000,75.000000,1.000001,0.000000,2084.000000,1055.250000,448.000000,38213518.250000,36827.500000,37860.500000,0.000041,1146.410294,0.424544,0.409465,0.388639,0.000000,0.000000,-2452.188895,1.850475,-2450.338421,-1324.167408,0.000000,-1.832617,0.218277,0.042794,0.002066,0.106464,0.090182,10698.528570,516.554736,0.021293,0.018036,-0.000000,0.000052,-0.000000,0.000010,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.332155,74.100000,75.000000,1.000001,0.000000,2095.000000,1815.625000,-1252.375000,38954133.625000,37632.375000,38465.625000,0.000041,2205.660282,-0.689776,-0.708904,-0.616677,0.000000,0.000000,-2444.039826,1.850475,-2442.189352,-1319.763637,-0.000000,-1.826527,0.283170,0.033823,0.006905,0.129700,0.113417,8455.728714,1726.245120,0.025940,0.022683,-0.000000,0.000089,-0.000000,0.000018,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.393983,74.100000,75.000000,1.000001,0.000000,2106.000000,-2148.875000,2158.125000,39796749.125000,38490.750000,39185.750000,0.000041,3045.515930,-1.004305,-1.030445,-0.800391,0.000000,0.000000,-2437.115977,1.850475,-2435.265502,-1316.021976,-0.000000,-1.821353,0.348063,0.032459,0.008268,0.156136,0.139853,8114.870035,2067.103799,0.031227,0.027971,-0.000000,0.000105,-0.000000,0.000021,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.456480,74.100000,75.000000,1.000001,0.000000,2116.000000,-201.375000,2535.125000,40564157.125000,39195.625000,39974.500000,0.000041,2543.110429,-12.589075,-15.033104,-1.504374,0.000000,0.000000,-2433.012838,1.850475,-2431.162363,-1313.804632,-0.000000,-1.818286,0.407057,0.031404,0.009324,0.180213,0.163930,7850.880704,2331.093130,0.036043,0.032786,-0.000000,0.000008,-0.000000,0.000002,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.518146,74.100000,75.000000,1.000001,0.000000,2127.000000,-3084.500000,-772.000000,41385037.500000,40065.625000,40758.500000,0.000041,3179.642158,0.250284,0.236677,0.232400,0.000000,0.000000,-2430.963087,1.850475,-2429.112613,-1312.696943,0.000000,-1.816754,0.471950,0.028748,0.011980,0.205967,0.189684,7187.089729,2994.884105,0.041193,0.037937,-0.000000,0.000153,-0.000000,0.000031,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
0.580646,74.100000,75.000000,1.000001,0.000000,2137.000000,-1813.750000,-887.250000,42145583.000000,40803.500000,41551.500000,0.000041,2019.133880,0.489180,0.473359,0.442109,0.000000,0.000000,-2431.220525,1.850475,-2429.370050,-1312.836062,0.000000,-1.816947,0.530943,0.027819,0.012908,0.229828,0.213545,6954.868452,3227.105382,0.045966,0.042709,-0.000000,0.000090,-0.000000,0.000018,1.000000,0.000748,0.000748,0.000119,0.159155,0.159155,0.370370,0.000277,1.000000,0.370370, 
