Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,40.800000,30.000000,1.000001,91.000000,2216.000000,2015147.500000,31137.250000,47941430.250000,43688.250000,49879.375000,0.000042,2015388.045785,0.015452,0.002605,0.002605,2699.906637,2701.112923,203.541994,1.850475,205.392469,0.075988,7.039210,5.172677,0.996994,0.031171,0.000862,0.411666,0.000312,7792.674141,215.529059,0.082333,0.000062,0.020397,0.099415,5099.193425,0.019883,256740.586039,6465.845987,0.025184,1029.070535,40861.500991,40874.457176,95089.105940,2394.757773,256821.992212,95119.256375, 
0.119829,40.975000,30.000000,1.000001,91.000000,2216.000000,2015108.125000,31172.125000,47941881.125000,43687.625000,49880.500000,0.000042,2015349.214607,0.015469,0.002622,0.002622,2699.958658,2701.164867,203.584759,1.850475,205.435233,0.076002,7.086919,5.220380,0.996994,0.031210,0.000901,0.411680,0.000326,7802.451249,225.306168,0.082336,0.000065,0.020401,0.099413,5100.157114,0.019883,256794.041795,6525.474611,0.025411,1038.560718,40870.008732,40883.202200,95108.904369,2416.842449,256876.938864,95139.606987, 
0.257322,41.100000,30.000000,1.000001,91.000000,2216.000000,2015153.375000,31281.875000,47942307.875000,43688.500000,49880.500000,0.000042,2015396.159686,0.015523,0.002677,0.002677,2699.895767,2701.101532,203.512736,1.850475,205.363211,0.075977,7.232955,5.366409,0.996994,0.031247,0.000938,0.411693,0.000339,7811.705325,234.560244,0.082339,0.000068,0.020394,0.099415,5098.488529,0.019883,256704.013154,6708.010970,0.026131,1067.612259,40855.680241,40869.626911,95075.560428,2484.448508,256791.642739,95108.015829, 
0.379321,41.200000,30.000000,1.000001,91.000000,2216.000000,2015218.125000,31244.375000,47942367.625000,43690.375000,49882.000000,0.000042,2015460.320199,0.015504,0.002657,0.002657,2699.809818,2701.015644,203.425631,1.850475,205.276106,0.075948,7.181105,5.314558,0.996994,0.031252,0.000943,0.411695,0.000341,7813.001013,235.855932,0.082339,0.000068,0.020386,0.099419,5096.487952,0.019884,256595.132262,6643.197257,0.025890,1057.296844,40838.351322,40852.035633,95035.234171,2460.443429,256681.113389,95067.079033, 
0.503816,41.325000,30.000000,1.000001,91.000000,2216.000000,2015072.875000,31287.875000,47943164.625000,43688.500000,49884.875000,0.000042,2015315.762525,0.015527,0.002680,0.002680,2700.003474,2701.209310,203.603070,1.850475,205.453545,0.076008,7.242964,5.376405,0.996994,0.031321,0.001013,0.411720,0.000366,7830.284282,253.139201,0.082344,0.000073,0.020402,0.099411,5100.527844,0.019882,256816.930666,6720.505897,0.026168,1069.600886,40873.651606,40887.644120,95117.381728,2489.076258,256904.848292,95149.943812, 
0.625307,41.400000,30.000000,1.000001,91.000000,2216.000000,2015106.125000,31191.625000,47943347.875000,43687.875000,49886.125000,0.000042,2015347.516555,0.015479,0.002632,0.002632,2699.960933,2701.167075,203.557104,1.850475,205.407578,0.075992,7.113111,5.246549,0.996994,0.031337,0.001028,0.411726,0.000372,7834.258187,257.113105,0.082345,0.000074,0.020398,0.099413,5099.466382,0.019883,256759.473076,6558.186607,0.025542,1043.766989,40864.506954,40877.834803,95096.101139,2428.958003,256843.214483,95127.116475, 
0.745976,41.525000,30.000000,1.000001,91.000000,2216.000000,2015111.250000,31242.000000,47943576.750000,43684.125000,49881.750000,0.000042,2015353.421224,0.015504,0.002657,0.002657,2699.953022,2701.158979,203.544347,1.850475,205.394822,0.075987,7.180524,5.313958,0.996994,0.031357,0.001048,0.411733,0.000379,7839.221529,262.076448,0.082347,0.000076,0.020397,0.099413,5099.164962,0.019883,256743.527481,6642.447529,0.025872,1057.177521,40861.969136,40875.642454,95090.195363,2460.165752,256829.439537,95122.014643, 
0.866466,41.600000,30.000000,1.000001,91.000000,2216.000000,2015130.875000,31069.375000,47944124.375000,43685.625000,49883.875000,0.000042,2015370.375251,0.015418,0.002571,0.002571,2699.930309,2701.136852,203.511069,1.850475,205.361544,0.075976,6.948615,5.082041,0.996994,0.031404,0.001096,0.411750,0.000396,7851.097355,273.952274,0.082350,0.000079,0.020394,0.099414,5098.380528,0.019883,256701.929747,6352.551479,0.024747,1011.039168,40855.348656,40867.856734,95074.788795,2352.796844,256780.520379,95103.896437, 
0.987965,41.725000,30.000000,1.000001,91.000000,2216.000000,2015038.125000,31226.125000,47944374.375000,43688.250000,49883.625000,0.000042,2015280.058971,0.015497,0.002650,0.002650,2700.051309,2701.257406,203.626532,1.850475,205.477006,0.076015,7.161020,5.294442,0.996994,0.031426,0.001117,0.411758,0.000404,7856.518928,279.373847,0.082352,0.000081,0.020404,0.099410,5101.019540,0.019882,256846.258096,6618.052445,0.025767,1053.294926,40878.319208,40891.886866,95128.243739,2451.130535,256931.506274,95159.817139, 
1.125129,41.800000,30.685817,1.000001,91.000000,2216.000000,2015056.250000,31171.500000,47944761.750000,43691.125000,49882.875000,0.000042,2015297.336146,0.015469,0.002623,0.002623,2700.028161,2701.234432,203.595669,1.850475,205.446143,0.076004,7.087340,5.220756,0.996994,0.031460,0.001151,0.411770,0.000416,7864.919730,287.774648,0.082354,0.000083,0.020401,0.099411,5100.296703,0.019882,256807.679220,6525.945498,0.025412,1038.635662,40872.179194,40885.373866,95113.955267,2417.016851,256890.583851,95144.660685, 
