Material,Concentration,YoungModulus_MPa,YoungModulus_SE,N_Samples
cerr_117,10v,0.210606828548412,0.00468647032016017,3
cerr_117,20v,0.329533564139772,0.0277269040223087,3
cerr_117,30v,0.391558519861125,0.00879091924128873,4
cerr_117,40v,0.570520222857118,0.0123252217773946,4
cerr_117,50v,0.714178879999726,0.0268864897878176,3
cerr_158,10v,0.211302745702692,0.0116769176556716,6
cerr_158,20v,0.247597541577652,0.00629486422520426,4
cerr_158,30v,0.450492827025584,0.0191765341773838,4
cerr_158,40v,0.550644838605487,0.0184936870465708,4
cerr_158,50v,0.638969554636359,0.0206839090209729,3
ecoflex_50,N/A,0.176068807295491,NaN,1
