Material,ComparisonType,Group1,Group2,N1,N2,Statistic_H,P_Value_Raw,Alpha_Bonferroni,Is_Significant_Bonf
Cerr 117,KruskalWallis,Overall,0% vs 10% vs 20% vs 30% vs 40% vs 50%,3,15,16.2134502923977,0.00626036381071953,NaN,1
Cerr 117,Pairwise_MW,0% (Ecoflex),10%,1,3,NaN,0.5,0.00333333333333333,0
Cerr 117,Pairwise_MW,0% (Ecoflex),20%,1,3,NaN,0.5,0.00333333333333333,0
Cerr 117,Pairwise_MW,0% (Ecoflex),30%,1,4,NaN,0.4,0.00333333333333333,0
Cerr 117,Pairwise_MW,0% (Ecoflex),40%,1,4,NaN,0.4,0.00333333333333333,0
Cerr 117,Pairwise_MW,0% (Ecoflex),50%,1,3,NaN,0.5,0.00333333333333333,0
Cerr 117,Pairwise_MW,10%,20%,3,3,NaN,0.1,0.00333333333333333,0
Cerr 117,Pairwise_MW,10%,30%,3,4,NaN,0.0571428571428571,0.00333333333333333,0
Cerr 117,Pairwise_MW,10%,40%,3,4,NaN,0.0571428571428571,0.00333333333333333,0
Cerr 117,Pairwise_MW,10%,50%,3,3,NaN,0.1,0.00333333333333333,0
Cerr 117,Pairwise_MW,20%,30%,3,4,NaN,0.114285714285714,0.00333333333333333,0
Cerr 117,Pairwise_MW,20%,40%,3,4,NaN,0.0571428571428571,0.00333333333333333,0
Cerr 117,Pairwise_MW,20%,50%,3,3,NaN,0.1,0.00333333333333333,0
Cerr 117,Pairwise_MW,30%,40%,4,4,NaN,0.0285714285714286,0.00333333333333333,0
Cerr 117,Pairwise_MW,30%,50%,4,3,NaN,0.0571428571428571,0.00333333333333333,0
Cerr 117,Pairwise_MW,40%,50%,4,3,NaN,0.0571428571428571,0.00333333333333333,0
Cerr 158,KruskalWallis,Overall,0% vs 10% vs 20% vs 30% vs 40% vs 50%,6,16,19.5592885375494,0.00151142491584447,NaN,1
Cerr 158,Pairwise_MW,0% (Ecoflex),10%,1,6,NaN,0.285714285714286,0.00333333333333333,0
Cerr 158,Pairwise_MW,0% (Ecoflex),20%,1,4,NaN,0.4,0.00333333333333333,0
Cerr 158,Pairwise_MW,0% (Ecoflex),30%,1,4,NaN,0.4,0.00333333333333333,0
Cerr 158,Pairwise_MW,0% (Ecoflex),40%,1,4,NaN,0.4,0.00333333333333333,0
Cerr 158,Pairwise_MW,0% (Ecoflex),50%,1,3,NaN,0.5,0.00333333333333333,0
Cerr 158,Pairwise_MW,10%,20%,6,4,NaN,0.0666666666666667,0.00333333333333333,0
Cerr 158,Pairwise_MW,10%,30%,6,4,NaN,0.00952380952380952,0.00333333333333333,0
Cerr 158,Pairwise_MW,10%,40%,6,4,NaN,0.00952380952380952,0.00333333333333333,0
Cerr 158,Pairwise_MW,10%,50%,6,3,NaN,0.0238095238095238,0.00333333333333333,0
Cerr 158,Pairwise_MW,20%,30%,4,4,NaN,0.0285714285714286,0.00333333333333333,0
Cerr 158,Pairwise_MW,20%,40%,4,4,NaN,0.0285714285714286,0.00333333333333333,0
Cerr 158,Pairwise_MW,20%,50%,4,3,NaN,0.0571428571428571,0.00333333333333333,0
Cerr 158,Pairwise_MW,30%,40%,4,4,NaN,0.0285714285714286,0.00333333333333333,0
Cerr 158,Pairwise_MW,30%,50%,4,3,NaN,0.0571428571428571,0.00333333333333333,0
Cerr 158,Pairwise_MW,40%,50%,4,3,NaN,0.0571428571428571,0.00333333333333333,0
FM,KruskalWallis,Overall,0% vs 10% vs 20% vs 30% vs 40% vs 50%,3,34,28.8814604077762,2.44627536916012e-05,NaN,1
FM,Pairwise_MW,0%,10%,3,5,NaN,0.0357142857142857,0.00333333333333333,0
FM,Pairwise_MW,0%,20%,3,5,NaN,0.142857142857143,0.00333333333333333,0
FM,Pairwise_MW,0%,30%,3,10,NaN,0.00699300699300699,0.00333333333333333,0
FM,Pairwise_MW,0%,40%,3,5,NaN,0.0357142857142857,0.00333333333333333,0
FM,Pairwise_MW,0%,50%,3,9,NaN,0.00909090909090909,0.00333333333333333,0
FM,Pairwise_MW,10%,20%,5,5,NaN,0.150793650793651,0.00333333333333333,0
FM,Pairwise_MW,10%,30%,5,10,NaN,0.000666000666000666,0.00333333333333333,1
FM,Pairwise_MW,10%,40%,5,5,NaN,0.00793650793650794,0.00333333333333333,0
FM,Pairwise_MW,10%,50%,5,9,NaN,0.000999000999000999,0.00333333333333333,1
FM,Pairwise_MW,20%,30%,5,10,NaN,0.00799200799200799,0.00333333333333333,0
FM,Pairwise_MW,20%,40%,5,5,NaN,0.00793650793650794,0.00333333333333333,0
FM,Pairwise_MW,20%,50%,5,9,NaN,0.000999000999000999,0.00333333333333333,1
FM,Pairwise_MW,30%,40%,10,5,NaN,0.129204129204129,0.00333333333333333,0
FM,Pairwise_MW,30%,50%,10,9,NaN,0.00298772434995345,0.00333333333333333,1
FM,Pairwise_MW,40%,50%,5,9,NaN,0.0829170829170829,0.00333333333333333,0
